numero;despacho;data
112017014941;9.1;2022-02-01
112017015598;9.1;2022-02-01
112017015999;9.1;2022-02-01
112017016029;9.1;2022-02-01
112017016929;9.1;2022-02-01
112017017456;9.1;2022-02-01
112017017910;9.1;2022-02-01
112017019173;9.1;2022-02-01
112017019519;9.1;2022-02-01
112017019658;9.1;2022-02-01
112017019859;9.1;2022-02-01
112017019892;9.1;2022-02-01
112017020542;9.1;2022-02-01
112017020937;9.1;2022-02-01
112017021124;9.1;2022-02-01
112017021892;9.1;2022-02-01
112017023310;9.1;2022-02-01
112017023437;9.1;2022-02-01
112017023878;9.1;2022-02-01
112017023926;9.1;2022-02-01
112017024694;9.1;2022-02-01
112017024696;9.1;2022-02-01
112017024848;9.1;2022-02-01
112017025161;9.1;2022-02-01
112017025162;9.1;2022-02-01
112017025325;9.1;2022-02-01
112017026877;9.1;2022-02-01
112017027041;9.1;2022-02-01
112017027802;9.1;2022-02-01
112018000108;9.1;2022-02-01
112018003346;9.1;2022-02-01
112018003909;9.1;2022-02-01
112018003980;9.1;2022-02-01
112018004351;9.1;2022-02-01
112018004840;9.1;2022-02-01
112018004924;9.1;2022-02-01
112018005384;9.1;2022-02-01
112018005525;9.1;2022-02-01
112018006119;9.1;2022-02-01
112018006401;9.1;2022-02-01
112018008761;9.1;2022-02-01
112018008771;9.2;2022-02-01
112018009547;9.1;2022-02-01
112018009893;9.1;2022-02-01
112018010195;9.1;2022-02-01
112018010929;9.1;2022-02-01
112018011169;9.1;2022-02-01
112018011236;9.1;2022-02-01
112018011989;9.1;2022-02-01
112018012250;9.1;2022-02-01
112018012308;9.1;2022-02-01
112018012332;9.1;2022-02-01
112018012357;9.1;2022-02-01
112018013363;9.1;2022-02-01
112018013600;9.1;2022-02-01
112018014076;9.1;2022-02-01
112018014269;9.1;2022-02-01
112018014549;9.1;2022-02-01
112018015072;9.1;2022-02-01
112018015336;9.1;2022-02-01
112018015426;9.1;2022-02-01
112018015528;9.1;2022-02-01
112018015531;9.1;2022-02-01
112018015739;9.1;2022-02-01
112018016494;11.2;2022-02-01
112018017253;9.1;2022-02-01
112018068732;9.2;2022-02-01
112018069128;9.1;2022-02-01
112018069581;9.1;2022-02-01
112018070019;9.1;2022-02-01
112018070030;9.1;2022-02-01
112018070090;9.1;2022-02-01
112018071587;9.1;2022-02-01
112018073649;9.1;2022-02-01
112018073694;9.2;2022-02-01
112018075021;11.2;2022-02-01
112018075205;11.2;2022-02-01
112019008171;9.2;2022-02-01
112019014145;9.1;2022-02-01
112019020459;9.1;2022-02-01
112019027480;9.1;2022-02-01
112020001780;9.1;2022-02-01
112020002313;9.1;2022-02-01
112020002672;9.1;2022-02-01
112020003029;9.1;2022-02-01
112020010096;9.1;2022-02-01
